礙	碍
幫	帮
寶	宝
纔	才
蠶	蚕
層	层
讒	䜛
攙	搀
饞	馋
塵	尘
稱	称
齣	𫠚
處	処
觸	触
遲	遅
辭	辞
聰	聪
擔	担
膽	胆
遞	逓
點	点
鬥	鬪
獨	独
噸	吨
兒	児
礬	矾
膚	肤
蓋	盖
趕	赶
個	个
箇	个
顧	頋
關	関
號	号 號
懷	懐
壞	壊
繼	継
鹼	碱
漿	浆
槳	桨
獎	奖
奬	奖
醬	酱
舊	旧
據	拠
懼	惧
臘	𫞇
蠟	蝋
禮	礼
聯	联
糧	粮
獵	猟
臨	临
亂	乱
惱	悩
腦	脳
擬	拟
寢	寝
傘	伞
喪	丧
澀	澁
曬	晒
沉	沈
聲	声
濕	湿
實	实
獸	獣
隨	随
雖	虽
體	体
鐵	鉄 鐵
聽	聴
廳	厅
圖	图
窪	洼
襪	袜
網	网
穩	稳
蝦	虾
嚇	吓
顯	显
嚮	向
脅	脇 脅
釁	衅
壓	压
鹽	塩 𥂁
樣	様
癢	痒
醫	医
應	应
踴	踊
餘	馀
譽	誉
贓	賍
竈	灶 竈
齋	斋
這	这
證	証
衆	众
燭	烛
莊	庄 荘
妝	妆
裝	装
壯	壮
狀	状
濁	浊
總	总
愛	爱
噯	嗳
嬡	嫒
曖	暧
璦	瑷
罷	罢
擺	摆
襬	䙓
備	俻
憊	惫
邊	边
參	参
滲	渗
慘	惨
摻	掺
毿	毵
瘮	瘆
磣	碜
糝	糁
嘗	尝
嚐	尝
償	偿
齒	齿
齔	龀
齧	啮
嚙	啮
齠	龆
齙	龅
齟	龃
齡	龄
齜	龇
齦	龈
齬	龉
齪	龊
齷	龌
齲	龋
蟲	虫
蠱	蛊
從	从
縱	𥾺
樅	枞
聳	耸
單	单
戰	戦
鄲	郸
憚	惮 
撣	掸
彈	弾
嬋	婵
禪	禅
殫	殚
癉	瘅
蟬	蝉
簞	箪
蘄	蕲
囅	冁
當	当
噹	𪠽 𫟰
擋	挡
璫	珰
檔	档
襠	裆
鐺	𫟰
劏	㓥
對	对
懟	怼
爾	尔
邇	迩
彌	弥
瀰	㳽
禰	祢
壐	壐 玺
獼	猕
發	发
潑	泼
廢	废
撥	拨
豐	豊
豔	艶 艷 豔 豓
灩	灔
龜	亀
鬮	䦰
國	国
摑	掴
幗	帼 
膕	腘
蟈	蝈
畫	画
嫿	婳
劃	划
會	会
儈	侩
噲	哙
澮	浍
獪	狯
檜	桧
燴	烩
璯	㻅
膾	脍
繪	絵
鱠	𩷆
劊	刽
鄶	郐
薈	荟
夾	夹
郟	郏
俠	侠
陝	陕
浹	浃
挾	挟
莢	荚
峽	峡
狹	狭
愜	惬
硤	硖
頰	頬
瘞	瘗
篋	箧
蛺	蛱
線	綫 線
將	将
蔣	蒋
鏘	𨪙
盡	尽
儘	侭
濜	浕
藎	荩
燼	烬
贐	䝲
舉	举
櫸	榉
來	来
淶	涞
萊	莱
崍	崃
徠	徕
睞	睐
樂	楽
櫟	檪
礫	䃯
藥	薬
兩	両
輛	輌
滿	満
靈	霊
婁	娄
僂	偻
漊	溇
蔞	蒌
摟	搂
嶁	嵝
嘍	喽
縷	𫃵
屢	屡
數	数
樓	楼
瘻	瘘
褸	褛
窶	窭
屨	屦
螻	蝼
簍	篓
耬	耧
藪	薮
擻	擞
髏	髅
彔	录
錄	録
剝	剥
綠	緑
淥	渌
碌	碌
麥	麦
嘜	唛
麩	麸
麪	麺 麪 麵
麴	麹
麯	麹 麯
黽	黾
澠	渑
繩	䋲
黿	鼋
蠅	蝇
鼉	鼍
齊	斉
劑	剤
儕	㑪
濟	済
薺	萕
擠	㨈
臍	𦜝
躋	𨂋
齏	齑
氣	气
僉	佥
簽	签
劍	剑
劒	剑
儉	俭
險	险
撿	捡
獫	猃
檢	检
殮	殓
斂	敛
臉	脸
襝	裣
瞼	睑
瀲	潋 
蘞	蔹
區	区
謳	𧦅
傴	伛
漚	沤
慪	怄
摳	抠
奩	奁
嘔	呕
嶇	岖
嫗	妪
驅	駆
樞	枢
甌	瓯
歐	欧
毆	殴
鷗	鴎
瞘	眍
軀	躯
嗇	啬
牆	墙
墻	墙
檣	樯
薔	蔷
嬙	嫱
穡	穑
時	时
壽	寿
儔	俦
濤	涛
禱	祷
燾	焘
疇	畴
鑄	鋳
籌	筹
躊	踌
屬	属
囑	嘱
矚	瞩
雙	双
條	条
萬	万
爲	為 爲
僞	偽 僞
嬀	媯 嬀
潙	溈 潙
無	无 無
憮	怃 憮
廡	庑 廡
撫	抚 撫
蕪	芜 蕪
嘸	呒 嘸
嫵	妩 嫵
獻	献
寫	写
瀉	泻
亞	亚
堊	垩
埡	垭
掗	挜
啞	哑
婭	娅
惡	恶
噁	𫫇
氬	氩
壺	壶
椏	桠
嚴	厳
儼	𠑊
隱	隐
癮	瘾
與	与
嶼	屿
歟	欤
質	貭
